scientific_name,source,noclass_term_type_1,noclass_term_1,noclass_term_type_2,noclass_term_2,noclass_term_type_3,noclass_term_3,noclass_term_type_4,noclass_term_4,noclass_term_type_5,noclass_term_5,class_term_type_1,class_term_1,class_term_type_2,class_term_2,class_term_type_3,class_term_3,class_term_type_4,class_term_4,class_term_type_5,class_term_5,class_term_type_6,class_term_6,class_term_type_7,class_term_7,class_term_type_8,class_term_8
Rubroshorea,Arctos Plants,author_text,(Meijer) P.S.Ashton & J.Heck.,nomenclatural_code,ICBN,source_authority,IPNI,taxon_status,valid,,,kingdom,Plantae,phylum,Tracheophyta,class,Magnoliopsida,order,Theales,family,Dipterocarpaceae,genus,Rubroshorea,,,,
Rubroshorea acuminata,Arctos Plants,author_text,(Dyer) P.S.Ashton & J.Heck.,nomenclatural_code,ICBN,source_authority,IPNI,taxon_status,valid,,,kingdom,Plantae,phylum,Tracheophyta,class,Magnoliopsida,order,Theales,family,Dipterocarpaceae,genus,Rubroshorea,species,Rubroshorea acuminata,,
