"Catalog #","Accession #","Class 1","Kingdom","Phylum/Division","Class","Order","Family","Sci. Name:Genus","Sci. Name:Species","Common Name","TSN","Collection #","Item Count","Quantity","Storage Unit","Description","Dimens/Weight","Collector","Collection Date","Condition","Condition Desc","Study #","Other Numbers","Cataloger","Catalog Date","Identified By","Ident Date","Repro Method","Locality","Unit","State","Reference Datum","Watrbody/Drain:Waterbody","Watrbody/Drain:Drainage","UTM Z/E/N","Lat LongN/W","Elevation","Depth","Depos Environ","Habitat/Comm","Habitat","Slope","Aspect","Soil Type","For/Per/Sub","Assoc Spec","Type Specimen","Threat/Endang","T/E Date","Rare","Exotic/Native","Age","Sex","NOTES","Field Season","Ctrl Prop","Location","Object Status","Status Date","Catalog Folder","Maint. Cycle"
"BELA   56425","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Nephromataceae","Nephroma","arcticum","","191286","21516","1.00","0.00","EA","Nephroma arcticum ; Lichen specimen","","Emily A. Holt","6/30/2003","COM/EX","","","GUID:UAMb:Herb:56798; ALAAC#L30903; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946245","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/30/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.77813/-163.83556","625 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56426","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","amaurocraea","","189848","21471","1.00","0.00","EA","Cladonia amaurocraea ; Lichen specimen","","Emily A. Holt","6/30/2003","COM/EX","","","GUID:UAMb:Herb:56799; ALAAC#L31282; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946251","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","6/30/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.75464/-163.79318","650 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56427","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","nigricans","","190624","21120","1.00","0.00","EA","Cetraria nigricans ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56800; ALAAC#L24739; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56428","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","coccifera","","189871","20341","1.00","0.00","EA","Cladonia coccifera ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56801; ALAAC#L24398; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56429","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","crispata","","189876","21074","1.00","0.00","EA","Cladonia crispata ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56802; ALAAC#L24726; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946255","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53077/-163.96111","350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56430","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Peltigeraceae","Peltigera","scabrosa","","191247","21091","1.00","0.00","EA","Peltigera scabrosa ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56828; ALAAC#L24731; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946263","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53743/-164.07742","375 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56431","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","vermicularis","","192030","21081","1.00","0.00","EA","Thamnolia vermicularis ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56824; ALAAC#L24728; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946255","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53077/-163.96111","350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56432","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","vermicularis","","192030","21132","1.00","0.00","EA","Thamnolia vermicularis ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56825; ALAAC#L24741; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946254","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.56359/-163.85333","600 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56433","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","arbuscula","","","21092","1.00","0.00","EA","Cladina mitis ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56826; ALAAC#L24732; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946263","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53743/-164.07742","375 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56434","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","maxima","","189928","21075","1.00","0.00","EA","Cladonia maxima ; Lichen specimen","","Emily A. Holt","7/3/2003","COM/EX","","","GUID:UAMb:Herb:56827; ALAAC#L24727; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946255","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/3/2003","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.53077/-163.96111","350 m","","","","","","","","","","","","","","","","","","2003","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
