"Catalog #","Accession #","Class 1","Kingdom","Phylum/Division","Class","Order","Family","Sci. Name:Genus","Sci. Name:Species","Common Name","TSN","Collection #","Item Count","Quantity","Storage Unit","Description","Dimens/Weight","Collector","Collection Date","Condition","Condition Desc","Study #","Other Numbers","Cataloger","Catalog Date","Identified By","Ident Date","Repro Method","Locality","Unit","State","Reference Datum","Watrbody/Drain:Waterbody","Watrbody/Drain:Drainage","UTM Z/E/N","Lat LongN/W","Elevation","Depth","Depos Environ","Habitat/Comm","Habitat","Slope","Aspect","Soil Type","For/Per/Sub","Assoc Spec","Type Specimen","Threat/Endang","T/E Date","Rare","Exotic/Native","Age","Sex","NOTES","Field Season","Ctrl Prop","Location","Object Status","Status Date","Catalog Folder","Maint. Cycle"
"BELA   56173","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Allantoparmelia","alpicola","","190558","fl26069","1.00","0.00","EA","Allantoparmelia alpicola ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56383; ALAAC#L27200; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56174","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Allantoparmelia","alpicola","","190558","3108","1.00","0.00","EA","Allantoparmelia alpicola; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56384; ALAAC#L27194; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56175","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Allantoparmelia","almquistii","","190557","3117","1.00","0.00","EA","Allantoparmelia almquistii ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56385; ALAAC#L27203; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56176","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Cetraria","kamczatica","","190622","3107","1.00","0.00","EA","Cetraria kamczatica ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56386; ALAAC#L27193; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56177","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Stereocaulaceae","Stereocaulon","grande","","","3093","1.00","0.00","EA","Stereocaulon grande ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56388; ALAAC#L27085; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56178","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","uncialis","","189989","3195","1.00","0.00","EA","Cladonia uncialis ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56389; ALAAC#L27297; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946141","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.4938/-163.60045","110 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56179","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Brodoa","oroarctica","","190565","3116","1.00","0.00","EA","Brodoa oroarctica ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56394; ALAAC#L27202; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946142","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56180","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Brodoa","oroarctica","","190565","3089","1.00","0.00","EA","Brodoa oroarctica ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56390; ALAAC#L27079; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56181","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae","Ramalina","thrausta","","190895","3099","1.00","0.00","EA","Ramalina thrausta ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56391; ALAAC#L27091; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56182","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Pseudephebe","minuscula","","190733","3104","1.00","0.00","EA","Pseudephebe minuscula ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56392; ALAAC#L27190; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56183","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","physodes","","190682","3115","1.00","0.00","EA","Hypogymnia physodes ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56393; ALAAC#L27201; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56184","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","bitteri","","190669","3119","1.00","0.00","EA","Hypogymnia bitteri ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56395; ALAAC#L27205; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56185","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","bitteri","","190669","3097","1.00","0.00","EA","Hypogymnia bitteri ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56396; ALAAC#L27089; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56186","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","bitteri","","190669","3118","1.00","0.00","EA","Hypogymnia bitteri ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56401; ALAAC#L27204; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56187","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Hypogymnia","bitteri","","190669","3096","1.00","0.00","EA","Hypogymnia bitteri ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56416; ALAAC#L27088; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56188","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelia","skultii","","190720","3122","1.00","0.00","EA","Parmelia skultii ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56412; ALAAC#L27210; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56189","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelia","skultii","","190720","3123","1.00","0.00","EA","Parmelia skultii ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56413; ALAAC#L27211; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56190","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Parmelia","skultii","","190720","3112","1.00","0.00","EA","Parmelia skultii ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56414; ALAAC#L27198; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56191","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Ochrolechia","","","14018","3121","1.00","0.00","EA","Ochrolechia ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56415; ALAAC#L27209; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Neitlich, Peter","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56192","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Ochrolechia","","","14018","3120","1.00","0.00","EA","Ochrolechia ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56417; ALAAC#L27208; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Neitlich, Peter","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56193","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","","","14021","3105","1.00","0.00","EA","Pertusaria ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56418; ALAAC#L27191; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Neitlich, Peter","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56194","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Melanelia","stygia","","","3095","1.00","0.00","EA","Melanelia stygia ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56423; ALAAC#L27087; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56195","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Teloschistaceae","Xanthoria","candelaria","","191775","3094","1.00","0.00","EA","Xanthoria candelaria ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56419; ALAAC#L27086; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56196","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Teloschistaceae","Xanthoria","candelaria","","191775","3109","1.00","0.00","EA","Xanthoria candelaria ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56420; ALAAC#L27195; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56197","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","vellea","","191844","3113","1.00","0.00","EA","Umbilicaria vellea ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56421; ALAAC#L27199; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56198","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","proboscidea","","191840","3098","1.00","0.00","EA","Umbilicaria proboscidea ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56422; ALAAC#L27090; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56199","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","hyperborea","","191827","3092","1.00","0.00","EA","Umbilicaria hyperborea ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56424; ALAAC#L27084; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56200","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","hyperborea","","191827","3110","1.00","0.00","EA","Umbilicaria hyperborea ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56425; ALAAC#L27196; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56201","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","hyperborea","","191827","3091","1.00","0.00","EA","Umbilicaria hyperborea ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56430; ALAAC#L27083; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56202","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","hyperborea","","191827","3090","1.00","0.00","EA","Umbilicaria hyperborea ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56426; ALAAC#L27082; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56203","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","stricta","","189972","3102","1.00","0.00","EA","Cladonia stricta ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56427; ALAAC#L27188; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56204","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","stricta","","189972","3101","1.00","0.00","EA","Cladonia stricta ; Lichen specimen","","Peter Neitlich","7/1/2000","COM/EX","","","GUID:UAMb:Herb:56428; ALAAC#L27187; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946140","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","7/1/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84222/-164.60405","400 m","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56205","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","","","189842","20265","1.00","0.00","EA","Cladonia ; Lichen specimen","","Peter Neitlich","8/13/2000","COM/EX","","","GUID:UAMb:Herb:56429; ALAAC#L24379; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946143","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","8/13/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.33863/-163.3376","","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56206","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Bryoria","nitidula","","190584","20225","1.00","0.00","EA","Bryoria nitidula ; Lichen specimen","","Peter Neitlich","8/13/2000","COM/EX","","","GUID:UAMb:Herb:56431; ALAAC#L24357; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946150","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","8/13/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.78974/-164.12529","","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56207","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Bryoria","nitidula","","190584","20222","1.00","0.00","EA","Bryoria nitidula ; Lichen specimen","","Peter Neitlich","8/13/2000","COM/EX","","","GUID:UAMb:Herb:56432; ALAAC#L24356; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946144","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","8/13/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84483/-163.68788","","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56208","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","hyperborea","","191827","20277","1.00","0.00","EA","Umbilicaria hyperborea ; Lichen specimen","","Peter Neitlich","8/13/2000","COM/EX","","","GUID:UAMb:Herb:56397; ALAAC#L24389; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946143","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","8/13/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.33863/-163.3376","","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56209","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","20271","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Peter Neitlich","8/13/2000","COM/EX","","","GUID:UAMb:Herb:56398; ALAAC#L24384; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946144","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","8/13/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.84483/-163.68788","","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
"BELA   56210","BELA-00128","BIOLOGY","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","subuliformis","","192029","20272","1.00","0.00","EA","Thamnolia subuliformis ; Lichen specimen","","Peter Neitlich","8/13/2000","COM/EX","","","GUID:UAMb:Herb:56399; ALAAC#L24385; ARCTOS ACC # 2012.11.Cryp; Collection Event ID 10946145","ANDERSON, MARGARET M.","12/12/2016 12:00:00 AM","Holt, Emily A.","8/13/2000","","Bering Land Bridge National Preserve","BELA","AK","","","","","65.86603/-163.5602","","","","","","","","","","","","","","","","","","","2000","N","UAMN - ALA HERBARIUM","LOAN OUT - NON-NPS - NON-FEDERAL","2022","",""
