Catalog #,Accession #,Class 1,Kingdom,Phylum/Division,Class,Order,Family,Sci. Name:Genus,Sci. Name:Species,Common Name,TSN,Item Count,Quantity,Storage Unit,Description,Dimens/Weight,Collector,Collection #,Collection Date,Condition,Condition Desc,Study #,Other Numbers,Cataloger,Catalog Date,Identified By,Ident Date,Repro Method,Locality,Unit,State,Reference Datum,Watrbody/Drain:Waterbody,Watrbody/Drain:Drainage,UTM Z/E/N,Lat LongN/W,Elevation,Depth,Depos Environ,Habitat/Comm,Habitat,Slope,Aspect,Soil Type,For/Per/Sub,Assoc Spec,Type Specimen,Threat/Endang,T/E Date,Rare,Exotic/Native,Age,Sex,Notes,Field Season,Ctrl Prop,Location,Object Status,Status Date,Catalog Folder,Maint. Cycle
BELA   56237,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,vermicularis,"","",1,"",EA,Thamnolia vermicularis; whole organism,"","NEITLICH, PETER",20275,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56541 ALAAC=L24388,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot U","",AK,WGS 84,"","","",N65.85083/W164.53951,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56238,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,subuliformis,"","",1,"",EA,Thamnolia subuliformis; whole organism,"","NEITLICH, PETER",20274,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56542 ALAAC=L24387,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot U","",AK,WGS 84,"","","",N65.85083/W164.53951,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56239,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,arbuscula,"","",1,"",EA,Cladina arbuscula; whole organism,"","NEITLICH, PETER",20233,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56543 ALAAC=L24361,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot Y","",AK,WGS 84,"","","",N65.86076/W164.74413,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56240,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,rangiferina,"","",1,"",EA,Cladina rangiferina; whole organism,"","NEITLICH, PETER",20234,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56544 ALAAC=L24362,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot Y","",AK,WGS 84,"","","",N65.86076/W164.74413,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56241,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,deformis,"","",1,"",EA,Cladonia deformis; whole organism,"","NEITLICH, PETER",20250,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56545 ALAAC=L24371,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot 11","",AK,WGS 84,"","","",N65.88912/W164.84509,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56242,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Stereocaulaceae,Stereocaulon,apocalypticum,"","",1,"",EA,Stereocaulon apocalypticum; whole organism,"","NEITLICH, PETER",20266,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56546 ALAAC=L31039,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot U","",AK,WGS 84,"","","",N65.85083/W164.53951,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56243,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,rangiferina,"","",1,"",EA,Cladina rangiferina; whole organism,"","NEITLICH, PETER",20240,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56547 ALAAC=L31036,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot 11","",AK,WGS 84,"","","",N65.88912/W164.84509,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56244,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,subfurcata,"","",1,"",EA,Cladonia subfurcata; whole organism,"","NEITLICH, PETER",20258,8/21/2001,COM/GD,"","",Arctos=UAMb:Herb:56548 ALAAC=L30835,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/21/2001,"","In Bering Land Bridge National Preserve, Plot 11","",AK,WGS 84,"","","",N65.88912/W164.84509,,"","","",,"","","","","",,"","","","","","","",2001,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56245,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,sulphurina,"","",1,"",EA,Cladonia sulphurina; whole organism,"","NEITLICH, PETER",3182,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56549 ALAAC=L27281,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56246,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,sulphurina,"","",1,"",EA,Cladonia sulphurina; whole organism,"","NEITLICH, PETER",3187a,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56550 ALAAC=L27286,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56247,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,sulphurina,"","",1,"",EA,Cladonia sulphurina; whole organism,"","NEITLICH, PETER",3191,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56551 ALAAC=L27293,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56248,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,cornuta,"","",1,"",EA,Cladonia cornuta; whole organism,"","NEITLICH, PETER",3180,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56552 ALAAC=L27279,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56249,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,cornuta,"","",1,"",EA,Cladonia cornuta; whole organism,"","NEITLICH, PETER",3184,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56553 ALAAC=L27283,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56250,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Hypogymnia,subobscura,"","",1,"",EA,Hypogymnia subobscura; whole organism,"","NEITLICH, PETER",3002,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56554 ALAAC=L26974,"METZGAR, JORDAN",11/11/2015,"NEITLICH, PETER",7/1/2002,"",North of Serpentine Hot Springs,"",AK,WGS 84,"","","",N65.81965/W164.54077,310 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56252,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmeliopsis,hyperopta,"","",1,"",EA,Parmeliopsis hyperopta; whole organism,"","NEITLICH, PETER",3200,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56555 ALAAC=L27390,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",Peak 988 E of N Fork Serpentine River,"",AK,WGS 84,"","","",N66.07001/W164.577,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56253,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Peltigerales,Peltigeraceae,Peltigera,polydactylon,"","",1,"",EA,Peltigera polydactylon; whole organism,"","NEITLICH, PETER",3208,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56556 ALAAC=L27398,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",Peak 988 E of N Fork Serpentine River,"",AK,WGS 84,"","","",N66.07061/W164.561,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56254,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,,Peltigeraceae,Peltigera,neopolydactyla,"","",1,"",EA,Peltigera neopolydactyla; whole organism,"","NEITLICH, PETER",3207,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56557 ALAAC=L27397,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56255,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,,Peltigeraceae,Peltigera,scabrosa,"","",1,"",EA,Peltigera scabrosa; whole organism,"","NEITLICH, PETER",3177,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56558 ALAAC=L27274,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56256,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,,Peltigeraceae,Peltigera,scabrosa,"","",1,"",EA,Peltigera scabrosa; whole organism,"","NEITLICH, PETER",3175,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56559 ALAAC=L27272,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56258,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,subfurcata,"","",1,"",EA,Cladonia subfurcata; whole organism,"","NEITLICH, PETER",3199,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56560 ALAAC=L27301,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",Peak 988 E of N Fork Serpentine River,"",AK,WGS 84,"","","",N66.07061/W164.561,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56259,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,subfurcata,"","",1,"",EA,Cladonia subfurcata; whole organism,"","NEITLICH, PETER",3185,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56561 ALAAC=L27284,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56260,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,subfurcata,"","",1,"",EA,Cladonia subfurcata; whole organism,"","NEITLICH, PETER",3197,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56562 ALAAC=L27299,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",Peak 988 E of N Fork Serpentine River,"",AK,WGS 84,"","","",N66.07061/W164.561,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56261,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,subfurcata,"","",1,"",EA,Cladonia subfurcata; whole organism,"","NEITLICH, PETER",3196,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56563 ALAAC=L27298,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",Peak 988 E of N Fork Serpentine River,"",AK,WGS 84,"","","",N66.07061/W164.561,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56262,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,botrytes,"","",1,"",EA,Cladonia botrytes; whole organism,"","NEITLICH, PETER",3178,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56564 ALAAC=L27275,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56263,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,cyanipes,"","",1,"",EA,Cladonia cyanipes; whole organism,"","NEITLICH, PETER",3187b,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56565 ALAAC=L27287,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56264,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,deformis,"","",1,"",EA,Cladonia deformis; whole organism,"","NEITLICH, PETER",3190,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56566 ALAAC=L27292,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56265,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,deformis,"","",1,"",EA,Cladonia deformis; whole organism,"","NEITLICH, PETER",3189,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56567 ALAAC=L27289,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56267,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,gracilis,"","",1,"",EA,Cladonia gracilis; whole organism,"","NEITLICH, PETER",3179,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56568 ALAAC=L27276,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56268,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,gracilis,"","",1,"",EA,Cladonia gracilis; whole organism,"","NEITLICH, PETER",3183,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56569 ALAAC=L27282,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",14 miles NE of Imuruk Lake.,"",AK,WGS 84,"","","",N65.74065/W162.733,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56269,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,bellidiflora,"","",1,"",EA,Cladonia bellidiflora; whole organism,"","NEITLICH, PETER",3198,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56570 ALAAC=L27300,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"",Peak 988 E of N Fork Serpentine River,"",AK,WGS 84,"","","",N66.07061/W164.561,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56270,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,deformis,"","",1,"",EA,Cladonia deformis; whole organism,"","HOLT, EMILY",20086,7/6/2002,COM/GD,"","",Arctos=UAMb:Herb:56571 ALAAC=L24344,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/6/2002,"","In Bering Land Bridge National Preserve, Plot 4","",AK,WGS 84,"","","",N65.67639/W162.88275,,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56271,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,nivalis,"","",1,"",EA,Cetraria nivalis; whole organism,"","NEITLICH, PETER",20229,8/13/2002,COM/GD,"","",Arctos=UAMb:Herb:56572 ALAAC=L24359,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",8/13/2002,"",In Bering Land Bridge National Preserve,"",AK,WGS 84,"","","",N65.954628/W164.403866,,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56266,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,gracilis,"","",1,"",EA,Cladonia gracilis; whole organism,"","NEITLICH, PETER",3181,7/1/2002,COM/GD,"","",Arctos=UAMb:Herb:56573 ALAAC=L27280,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/1/2002,"","7 miles E of Imuruk Lake, E of Nimrod Hill.","",AK,WGS 84,"","","",N65.67639/W162.883,60 m,"","","",,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56272,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Alectoriaceae,Alectoria,nigricans,"","",1,"",EA,Alectoria nigricans; whole organism,"","HOLT, EMILY",20958,6/13/2003,COM/GD,"","",Arctos=UAMb:Herb:56574 ALAAC=L24574,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",6/13/2003,"","Plot 2L, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.36536/W163.33598,1600 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56273,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,nigricans,"","",1,"",EA,Cetraria nigricans; whole organism,"","HOLT, EMILY",21019b,6/13/2003,COM/GD,"","",Arctos=UAMb:Herb:56575 ALAAC=L24714,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",6/13/2003,"","Plot 2S, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.28011/W162.8716,2300 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56481,BELA-00128,BIOLOGY,Fungi,Ascomycota,Ascomycetes,Lecanorales,Cladoniaceae,Cladina,stellaris,"","",1,"",EA,Cladina stellaris; whole organism,"","HOLT, EMILY",21390,7/6/2003,COM/GD,"","",Arctos=UAMb:Herb:56576 ALAAC=L31131,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/6/2003,"","Plot 7S-b, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.52449/W163.60353,600 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56482,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,subfurcata,"","",1,"",EA,Cladonia subfurcata; whole organism,"","HOLT, EMILY",21375,7/6/2003,COM/GD,"","",Arctos=UAMb:Herb:56577 ALAAC=L30844,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/6/2003,"","Plot 7S, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.5247/W163.57495,600 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56483,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,squamosa,"","",1,"",EA,Cladonia squamosa; whole organism,"","HOLT, EMILY",21394,7/6/2003,COM/GD,"","",Arctos=UAMb:Herb:56578 ALAAC=L31029,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/6/2003,"","Plot 7S-b, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.52449/W163.60353,600 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56484,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Evernia,perfragilis,"","",1,"",EA,Evernia perfragilis; whole organism,"","HOLT, EMILY",21260,7/9/2003,COM/GD,"","",Arctos=UAMb:Herb:56579 ALAAC=L24772,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/9/2003,"","Plot 5S-b, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.77084/W163.25171,1900 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56480,BELA-00128,BIOLOGY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,nivalis,"","",1,"",EA,Cetraria nivalis; whole organism,"","HOLT, EMILY",21388,7/6/2003,COM/GD,"","",Arctos=UAMb:Herb:56580 ALAAC=L31130,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/6/2003,"","Plot 7S-b, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.52449/W163.60353,600 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56485,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,subuliformis,"","",1,"",EA,Thamnolia subuliformis; whole organism,"","HOLT, EMILY",21210,7/9/2003,COM/GD,"","",Arctos=UAMb:Herb:56581 ALAAC=L24760,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/9/2003,"","Plot 5L, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.79788/W162.74091,925 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
BELA   56486,BELA-00128,BIOLOGY,Fungi,,Lecanoromycetes,,Icmadophilaceae,Thamnolia,vermicularis,"","",1,"",EA,Thamnolia vermicularis; whole organism,"","HOLT, EMILY",21218,7/9/2003,COM/GD,"","",Arctos=UAMb:Herb:56582 ALAAC=L24761,"METZGAR, JORDAN",11/11/2015,"HOLT, EMILY",7/9/2003,"","Plot 5M, Bering Land Bridge National Preserve","",AK,WGS 84,"","","",N65.82195/W162.7368,800 m,"","","",,"","","","","",,"","","","","","","",2003,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
